date,area,price_type,avg_price_gbp,mom_change_pct,yoy_change_pct,days_to_find_buyer,bank_rate_pct,source_url,collected_as_of,price_lag1,mom_lag1,price_lag2,mom_lag2,price_lag3,mom_lag3,fwd_1m_return_pct,fwd_1m_end_date,fwd_3m_return_pct,fwd_3m_end_date
2026-06-01,South West,asking_rightmove,385078,-1.2,-1.7,66,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,389772,0.5,387771,3.16,375875,1.2,-0.2706,2026-07-01,,
2026-07-01,South West,asking_rightmove,384036,-0.3,-0.9,69,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,385078,-1.2,389772,0.5,387771,3.16,,,,
2025-08-01,South East,asking_rightmove,479634,-1.4,-0.1,66,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,,,,,,,0.0726,2025-09-01,-2.5776,2025-11-01
2025-09-01,South East,asking_rightmove,479982,0.1,-0.7,69,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,479634,-1.4,,,,,0.0021,2025-10-01,-5.3206,2025-12-01
2025-10-01,South East,asking_rightmove,479992,0.01,-0.8,71,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,479982,0.1,479634,-1.4,,,-2.6503,2025-11-01,-3.6819,2026-01-01
2025-11-01,South East,asking_rightmove,467271,-2.7,-0.9,70,4.0,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,479992,0.01,479982,0.1,479634,-1.4,-2.7451,2025-12-01,0.58,2026-02-01
2025-12-01,South East,asking_rightmove,454444,-2.7,-2.7,76,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,467271,-2.7,479992,0.01,479982,0.1,1.7329,2026-01-01,4.8836,2026-03-01
2026-01-01,South East,asking_rightmove,462319,1.7,-1.6,83,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,454444,-2.7,467271,-2.7,479992,0.01,1.6573,2026-02-01,4.381,2026-04-01
2026-02-01,South East,asking_rightmove,469981,1.7,-0.9,85,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,462319,1.7,454444,-2.7,467271,-2.7,1.4162,2026-03-01,4.1661,2026-05-01
2026-03-01,South East,asking_rightmove,476637,1.4,-1.1,78,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,469981,1.7,462319,1.7,454444,-2.7,1.2454,2026-04-01,1.7166,2026-06-01
2026-04-01,South East,asking_rightmove,482573,1.25,-2.06,72,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,476637,1.4,469981,1.7,462319,1.7,1.4481,2026-05-01,-0.5779,2026-07-01
2026-05-01,South East,asking_rightmove,489561,1.4,-1.6,67,3.75,https://www.rightmove.co.uk/news/house-price-index/,2026-08-10,482573,1.25,476637,1.4,469981,1.7,-0.9686,2026-06-01,,
