published_at,event_type,title,summary,value_pct,prev_value_pct,source,source_url,tags,collected_as_of
1978-11-01,boe_bank_rate_change,Bank Rate changed to 12.5%,BoE Bank Rate moved from 10.0% to 12.5%,12.5,10.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1979-02-01,boe_bank_rate_change,Bank Rate changed to 14.0%,BoE Bank Rate moved from 12.5% to 14.0%,14.0,12.5,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1979-03-01,boe_bank_rate_change,Bank Rate changed to 13.0%,BoE Bank Rate moved from 14.0% to 13.0%,13.0,14.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1979-04-01,boe_bank_rate_change,Bank Rate changed to 12.0%,BoE Bank Rate moved from 13.0% to 12.0%,12.0,13.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1979-06-01,boe_bank_rate_change,Bank Rate changed to 14.0%,BoE Bank Rate moved from 12.0% to 14.0%,14.0,12.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1979-11-01,boe_bank_rate_change,Bank Rate changed to 17.0%,BoE Bank Rate moved from 14.0% to 17.0%,17.0,14.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1980-07-01,boe_bank_rate_change,Bank Rate changed to 16.0%,BoE Bank Rate moved from 17.0% to 16.0%,16.0,17.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1980-11-01,boe_bank_rate_change,Bank Rate changed to 14.0%,BoE Bank Rate moved from 16.0% to 14.0%,14.0,16.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-03-01,boe_bank_rate_change,Bank Rate changed to 12.0%,BoE Bank Rate moved from 14.0% to 12.0%,12.0,14.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-08-01,boe_bank_rate_change,Bank Rate changed to 12.6875%,BoE Bank Rate moved from 12.0% to 12.6875%,12.6875,12.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-09-01,boe_bank_rate_change,Bank Rate changed to 14.0%,BoE Bank Rate moved from 12.6875% to 14.0%,14.0,12.6875,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-10-01,boe_bank_rate_change,Bank Rate changed to 15.125%,BoE Bank Rate moved from 14.0% to 15.125%,15.125,14.0,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-11-01,boe_bank_rate_change,Bank Rate changed to 14.5625%,BoE Bank Rate moved from 15.125% to 14.5625%,14.5625,15.125,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1981-12-01,boe_bank_rate_change,Bank Rate changed to 14.375%,BoE Bank Rate moved from 14.5625% to 14.375%,14.375,14.5625,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
1982-01-01,boe_bank_rate_change,Bank Rate changed to 13.875%,BoE Bank Rate moved from 14.375% to 13.875%,13.875,14.375,bank_of_england_iadb,"https://www.bankofengland.co.uk/boeapps/database/_iadb-fromshowcolumns.asp?csv.x=yes&Datefrom=01/Jan/1975&Dateto=now&SeriesCodes=IUDBEDR,IUMBV34,IUMBV37,IUMBV42,IUMBV45,IUM2WTL,IUM5WTL,IUMTLMV&UsingCodes=Y&VPD=Y&VFD=N",rates;monetary_policy;politics_macro,2026-08-10
