listing_id,channel,area,address,property_type,bedrooms,bathrooms,asking_price_gbp,price_qualifier,status_note,listed_or_reduced_date,agent,source,collected_as_of
91748319,sale,Glasgow,"Thornton Street, Maryhill, Glasgow, G20",flat,2,,65000,offers_over,,2026-08-07,,rightmove_listing_card,2026-08-09
91429752,sale,Glasgow,"La Casa, 22 Park Circus, Glasgow, G3",terraced,9,,2500000,offers_over,,2024-08-30,,rightmove_listing_card,2026-08-09
171371390,sale,Glasgow,"West Regent Street, City Centre, Glasgow, G2",serviced_apartments,,,2200000,guide_price,,2021-09-22,,rightmove_listing_card,2026-08-09
90474534,sale,Glasgow,"Humbie Road, Newton Mearns",detached,5,,1600000,offers_over,,2026-07-03,,rightmove_listing_card,2026-08-09
89551983,sale,Glasgow,"Kings Gate, 33 Victoria Crescent Road, Dowanhill, Glasgow, G12 9DD",town_house,5,,1600000,offers_over,,2026-06-10,,rightmove_listing_card,2026-08-09
164952458,sale,Glasgow,"Exchange House, Drymen Road, Bearsden, Glasgow",plot,,,1500000,offers_over,,,,rightmove_listing_card,2026-08-09
91024041,sale,Glasgow,"Cartside Farm Estate, Thorntonhall, Glasgow",detached,6,,1500000,offers_over,,2026-07-17,,rightmove_listing_card,2026-08-09
89361747,sale,Glasgow,"Kilmardinny Avenue, Bearsden, G61",detached,5,,1375000,offers_over,,2026-06-05,,rightmove_listing_card,2026-08-09
167500007,sale,Glasgow,"Princes Gardens, Glasgow, G12",terraced,6,,1300000,offers_over,,2026-02-05,,rightmove_listing_card,2026-08-09
90951462,sale,Glasgow,"Thorntonhall, Glasgow",detached,5,,1250000,offers_over,,2026-07-31,,rightmove_listing_card,2026-08-09
91558854,sale,Cardiff,"Cowbridge Road East, Cardiff, CF11",terraced,5,,595000,,,2026-08-03,,rightmove_listing_card,2026-08-09
87665028,sale,Cardiff,"Rudry Road, Lisvane, CF14",detached,7,,8000000,offers_over,,2024-12-23,,rightmove_listing_card,2026-08-09
174564884,sale,Cardiff,"Llantrisant Road, Llandaff, Cardiff, Wales, CF5",detached,10,,3500000,guide_price,,2026-04-17,,rightmove_listing_card,2026-08-09
87664443,sale,Cardiff,"Hollybush Road, Cardiff, CF23",detached,6,,3000000,offers_over,,2026-05-07,,rightmove_listing_card,2026-08-09
173711312,sale,Cardiff,"Hollybush Road, Cyncoed, Cardiff",detached,5,,2500000,,,2026-03-25,,rightmove_listing_card,2026-08-09
91429629,sale,Cardiff,"Heol Y Parc, Pentyrch, Cardiff, CF15",detached,5,,2500000,guide_price,,2025-05-23,,rightmove_listing_card,2026-08-09
173521265,sale,Cardiff,"Llandennis Avenue, Cardiff, CF23",detached,6,,2500000,offers_over,,2026-05-07,,rightmove_listing_card,2026-08-09
173546636,sale,Cardiff,"Maples, Lisvane Road, Lisvane, Cardiff",detached,5,,2000000,offers_in_excess_of,,2026-03-20,,rightmove_listing_card,2026-08-09
171686849,sale,Cardiff,"Penhill House, Llandaff Road, Cardiff, CF11 9PX",detached,7,,1950000,,,2026-06-16,,rightmove_listing_card,2026-08-09
168716381,sale,Cardiff,"Newport Road, Roath, Cardiff",block_of_apartments,18,,1850000,offers_in_excess_of,,2026-04-28,,rightmove_listing_card,2026-08-09
175028933,sale,Cambridge,"Wulfstan Way, Cambridge, CB1",end_of_terrace,3,,495000,guide_price,,2026-07-29,,rightmove_listing_card,2026-08-09
170632517,sale,Cambridge,"Herschel Road, Cambridge",detached,6,,4500000,guide_price,,2025-12-26,,rightmove_listing_card,2026-08-09
174839705,sale,Cambridge,"Adams Road, Cambridge, Cambridgeshire",detached,7,,4500000,guide_price,,2026-04-23,,rightmove_listing_card,2026-08-09
87150771,sale,Cambridge,"Adams Road, Cambridge",detached,7,,4500000,guide_price,,2026-04-23,,rightmove_listing_card,2026-08-09
171913067,sale,Cambridge,"Glebe Road, Cambridge, CB1",detached,7,,3900000,guide_price,,2026-02-05,,rightmove_listing_card,2026-08-09
89255046,sale,Cambridge,"Victoria Road, Cambridge",terraced,10,,3100000,guide_price,,2026-06-03,,rightmove_listing_card,2026-08-09
171983939,sale,Cambridge,"Larmor Drive, Cambridge, Cambridgeshire, CB3",detached,5,,2950000,guide_price,,2026-04-28,,rightmove_listing_card,2026-08-09
173166674,sale,Cambridge,"Bentley Road, Cambridge, Cambridgeshire",detached,5,,2400000,guide_price,,2026-03-11,,rightmove_listing_card,2026-08-09
174508622,sale,Cambridge,"Bentley Road, Cambridge",detached,5,,2350000,guide_price,,2026-04-16,,rightmove_listing_card,2026-08-09
91107000,sale,Cambridge,"Emmanuel Road, Cambridge, Cambridgeshire",semi-detached,4,,2250000,guide_price,,2026-07-20,,rightmove_listing_card,2026-08-09
